Ligne;N° Set;Type élément;Segment;Ensemble;Zone;SS Zone;FFIRN/FUDN;Card.;Longueur;Libellé;Entité MPGT de départ {Entité de l'attribut};Entité MPGT instanciée {Entité de l'attribut};Attribut MPGT
38;10;FIELD;ORGID;ORGID;10;2;1107/001 ;C-1;1..1;ARMED SERVICE ;MPIA.Unite;MPIA.Unite{MPIA.EntiteOrganisationnelle};MPGT.EntiteOrganisationnelle.CodeIdentification
39;10;FIELD;ORGID;ORGID;10;3;1012/103 ;C-1;1..1;FILE SEQUENTIAL LOCATION NUMBER ;MPIA.Unite;MPIA.Unite{MPIA.EntiteOrganisationnelle};MPGT.EntiteOrganisationnelle.CodeIdentification
40;10;SET;ORGID;ORGID;;;;M-1;;ORGANIZATION DESIGNATOR;_;_;_
41;10;FIELD;ORGID;ORGID;1;;1022/039;M-1;1..15;UNIT DESIGNATION NAME;MPIA.Unite;MPIA.Unite;MPIA.RacineOperationnelle.Nom
42;10;FIELD;ORGID;ORGID;2;;1045/004;M-1;1..7;UNIT SIZE INDICATOR;MPIA.Unite;MPIA.TypeRegroupementForce;APourType{MPIA.AssociationInstanceObjetType}#AssocieCommeType{MPIA.Type}#MPIA.TypeRegroupementForce.Categorie
43;10;FIELD;ORGID;ORGID;3;;1026/001;M-1;2..2;GEOGRAPHICAL ENTITY;MPIA.Unite;MPIA.EntitePolitique;EstAffilieA{MPIA.AssociationAffiliationInstanceObjet}#ConcerneAffiliation{MPIA.EntitePolitique}#MPIA.EntitePolitique.Trigramme
44;10;FIELD;ORGID;ORGID;4;;1311/002;M-1;2..6;UNIT ROLE INDICATOR CODE 'A';_;_;_
45;10;FIELD;ORGID;ORGID;5;;1311/003;M-1;2..6;UNIT ROLE INDICATOR CODE 'B';_;_;_
46;10;FIELD;ORGID;ORGID;6;;1311/004;M-1;2..6;UNIT ROLE INDICATOR CODE 'C';_;_;_
47;10;FIELD;ORGID;ORGID;7;;1311/005;M-1;2..6;UNIT ROLE INDICATOR CODE 'D';_;_;_
48;10;FIELD;ORGID;ORGID;8;;1022/040;M-1;1..15;HIGHER FORMATION NAME;MPIA.Unite;MPIA.Unite;EstObjet{MPGT.AssociationEntiteOrgEntiteOrg}#APourObjet{MPIA.Unite}#MPIA.RacineOperationnelle.Nom
49;10;FIELD;ORGID;ORGID;9;;;M-1;;ARMED SERVICE OR CIVILIAN AGENCY CODE;_;_;_
50;10;FIELD;ORGID;ORGID;9A;;1107/001;M-1;1..1;ARMED SERVICE;MPIA.Unite;MPIA.TypeOrganisationGouvernementale;EstObjet{MPGT.AssociationEntiteOrgEntiteOrg}#APourObjet{MPIA.Unite}#APourType{MPIA.AssociationInstanceObjetType}#AssocieCommeType{MPIA.Type}#MPIA.TypeOrganisationGouvernementale.Armee
51;10;FIELD;ORGID;ORGID;9B;;1507/001;M-1;2..8;CIVILIAN AGENCY CODE;_;_;_
52;10;COMP. FIELD;ORGID;ORGID;10;;2141/001;C-1;7..9;UNIT IDENTIFICATION CODE (UIC);_;_;_
53;10;FIELD;ORGID;ORGID;10;1;1026/002 ;C-1;2..2;NATIONALITY;MPIA.Unite;MPIA.Unite{MPIA.EntiteOrganisationnelle};MPGT.EntiteOrganisationnelle.CodeIdentification
54;10;FIELD;ORGID;ORGID;10;2;1107/001 ;C-1;1..1;ARMED SERVICE ;MPIA.Unite;MPIA.Unite{MPIA.EntiteOrganisationnelle};MPGT.EntiteOrganisationnelle.CodeIdentification
55;10;FIELD;ORGID;ORGID;10;3;1012/103 ;C-1;1..1;FILE SEQUENTIAL LOCATION NUMBER ;MPIA.Unite;MPIA.Unite{MPIA.EntiteOrganisationnelle};MPGT.EntiteOrganisationnelle.CodeIdentification
56;10;SET;ORGID;ORGID;;;;M-1;;ORGANIZATION DESIGNATOR;_;_;_
